"No.","Time","Source","Destination","Protocol","Length","Info"
"3","0.001523230","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"7","0.141982092","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"10","0.275937472","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"16","0.436505732","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"20","0.576460750","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"23","0.712149215","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"27","0.852372402","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"32","0.993667175","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"36","1.128813740","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"40","1.266083281","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"43","1.400263437","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"47","1.536027179","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"52","1.669414660","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"56","1.807862213","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"60","1.944003452","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"64","2.076229771","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"68","2.211906254","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"72","2.351885398","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"76","2.479884108","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"80","2.611903126","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"84","2.743873831","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"88","2.876035475","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"92","3.015980661","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"96","3.147853291","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"100","3.284607759","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"104","3.424051620","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"108","3.559856666","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"112","3.691894694","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"116","3.827968830","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"120","3.963857598","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"124","4.099839311","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"128","4.231810378","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"132","4.359859760","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"136","4.496065940","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"140","4.635926091","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"144","4.767873044","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"148","4.903866695","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"152","5.039914837","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"156","5.179937322","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"160","5.315907111","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"164","5.451909042","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"168","5.579899315","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"172","5.715872335","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"176","5.847903402","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"180","5.987852191","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"185","6.125206521","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"188","6.260056155","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"192","6.392067307","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"197","6.536173174","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"200","6.668342124","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"205","6.805367469","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"208","6.935918907","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"212","7.072000116","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"216","7.203947462","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"221","7.337199190","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"224","7.471923880","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"228","7.607910608","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"232","7.744017123","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"236","7.879919971","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"241","8.013452360","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"245","8.139800531","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"248","8.271921467","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"253","8.405834755","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"256","8.540205728","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"260","8.679953723","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"264","8.811896842","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"269","8.942762081","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"272","9.075922547","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"277","9.209314344","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"280","9.339962957","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"284","9.479940806","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"288","9.615923284","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"293","9.749587756","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"296","9.879952317","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"301","10.020055160","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"305","10.155866392","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"309","10.287777052","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"313","10.419878224","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"317","10.551813227","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"321","10.683798434","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"325","10.815813638","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"329","10.947820252","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"333","11.079904768","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"337","11.211848201","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"341","11.347809528","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"345","11.479792266","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"349","11.611944658","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"353","11.747983505","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"357","11.879843888","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"361","12.011757682","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"365","12.147865468","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"369","12.279886890","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"373","12.415734511","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
