"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","10.0.1.2","10.0.2.3","UDP","58","6986  >  1772 Len=16"
"2","0.001293433","10.0.1.1","10.0.2.3","UDP","58","26350  >  51531 Len=16"
"3","0.001523230","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"4","0.002294843","10.0.1.5","10.0.2.3","UDP","58","33960  >  52192 Len=16"
"5","0.137134821","10.0.1.1","10.0.2.3","UDP","58","26350  >  51531 Len=16"
"6","0.140311357","10.0.1.2","10.0.2.3","UDP","58","6986  >  1772 Len=16"
"7","0.141982092","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"8","0.143151125","10.0.1.5","10.0.2.3","UDP","58","33960  >  52192 Len=16"
"9","0.268402937","10.0.1.1","10.0.2.3","UDP","58","26350  >  51531 Len=16"
"10","0.275937472","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"11","0.277280624","10.0.1.2","10.0.2.3","UDP","58","6986  >  1772 Len=16"
"12","0.278045987","10.0.1.5","10.0.2.3","UDP","58","33960  >  52192 Len=16"
"13","0.414516746","10.0.1.5","10.0.2.3","UDP","58","33960  >  52192 Len=16"
"14","0.415866293","10.0.1.1","10.0.2.3","UDP","58","26350  >  51531 Len=16"
"15","0.436024534","10.0.1.2","10.0.2.3","UDP","58","6986  >  1772 Len=16"
"16","0.436505732","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"17","0.551808317","10.0.1.5","10.0.2.3","UDP","58","33960  >  52192 Len=16"
"18","0.552889231","10.0.1.1","10.0.2.3","UDP","58","26350  >  51531 Len=16"
"19","0.576035575","10.0.1.2","10.0.2.3","UDP","58","6986  >  1772 Len=16"
"20","0.576460750","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"21","0.683902271","10.0.1.5","10.0.2.3","UDP","58","33960  >  52192 Len=16"
"22","0.691905939","10.0.1.1","10.0.2.3","UDP","58","26350  >  51531 Len=16"
"23","0.712149215","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"24","0.713499682","10.0.1.2","10.0.2.3","UDP","58","6986  >  1772 Len=16"
"25","0.808526354","10.0.1.5","10.0.2.3","UDP","58","33960  >  52192 Len=16"
"26","0.828171382","10.0.1.1","10.0.2.3","UDP","58","26350  >  51531 Len=16"
"27","0.852372402","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"28","0.854461567","10.0.1.2","10.0.2.3","UDP","58","6986  >  1772 Len=16"
"29","0.944938443","10.0.1.5","10.0.2.3","UDP","58","33960  >  52192 Len=16"
"30","0.960023792","10.0.1.1","10.0.2.3","UDP","58","26350  >  51531 Len=16"
"31","0.992337821","10.0.1.2","10.0.2.3","UDP","58","6986  >  1772 Len=16"
"32","0.993667175","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"33","1.075964391","10.0.1.5","10.0.2.3","UDP","58","33960  >  52192 Len=16"
"34","1.099819194","10.0.1.1","10.0.2.3","UDP","58","26350  >  51531 Len=16"
"35","1.128384238","10.0.1.2","10.0.2.3","UDP","58","6986  >  1772 Len=16"
"36","1.128813740","10.0.1.6","10.0.2.3","UDP","58","42948  >  61371 Len=16"
"37","1.208245137","10.0.1.5","10.0.2.3","UDP","58","33960  >  52192 Len=16"
