"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","10.0.1.1","10.0.2.3","UDP","58","32628  >  23100 Len=16"
"2","0.008309306","10.0.1.6","10.0.2.3","UDP","58","18839  >  6070 Len=16"
"3","0.008852928","10.0.1.5","10.0.2.3","UDP","58","5727  >  42191 Len=16"
"4","0.009515636","10.0.1.2","10.0.2.3","UDP","58","47565  >  23545 Len=16"
"5","0.128341584","10.0.1.1","10.0.2.3","UDP","58","32628  >  23100 Len=16"
"6","0.144377734","10.0.1.5","10.0.2.3","UDP","58","5727  >  42191 Len=16"
"7","0.145726549","10.0.1.2","10.0.2.3","UDP","58","47565  >  23545 Len=16"
"8","0.146204541","10.0.1.6","10.0.2.3","UDP","58","18839  >  6070 Len=16"
"9","0.260153284","10.0.1.1","10.0.2.3","UDP","58","32628  >  23100 Len=16"
"10","0.276567118","10.0.1.2","10.0.2.3","UDP","58","47565  >  23545 Len=16"
"11","0.277484066","10.0.1.5","10.0.2.3","UDP","58","5727  >  42191 Len=16"
"12","0.279843451","10.0.1.6","10.0.2.3","UDP","58","18839  >  6070 Len=16"
"13","0.412115851","10.0.1.1","10.0.2.3","UDP","58","32628  >  23100 Len=16"
"14","0.428251618","10.0.1.6","10.0.2.3","UDP","58","18839  >  6070 Len=16"
"15","0.429628602","10.0.1.2","10.0.2.3","UDP","58","47565  >  23545 Len=16"
"16","0.430827021","10.0.1.5","10.0.2.3","UDP","58","5727  >  42191 Len=16"
"17","0.554086830","10.0.1.1","10.0.2.3","UDP","58","32628  >  23100 Len=16"
"18","0.580036615","10.0.1.2","10.0.2.3","UDP","58","47565  >  23545 Len=16"
"19","0.581046631","10.0.1.6","10.0.2.3","UDP","58","18839  >  6070 Len=16"
"20","0.584132471","10.0.1.5","10.0.2.3","UDP","58","5727  >  42191 Len=16"
"21","0.685408644","10.0.1.1","10.0.2.3","UDP","58","32628  >  23100 Len=16"
"22","0.711970725","10.0.1.6","10.0.2.3","UDP","58","18839  >  6070 Len=16"
"23","0.719997246","10.0.1.5","10.0.2.3","UDP","58","5727  >  42191 Len=16"
"24","0.721163879","10.0.1.2","10.0.2.3","UDP","58","47565  >  23545 Len=16"
"25","1.394485624","10.0.1.1","10.0.2.3","UDP","58","32628  >  23100 Len=16"
"26","1.400780196","10.0.1.5","10.0.2.3","UDP","58","5727  >  42191 Len=16"
"27","1.402187415","10.0.1.6","10.0.2.3","UDP","58","18839  >  6070 Len=16"
"28","1.408610745","10.0.1.2","10.0.2.3","UDP","58","47565  >  23545 Len=16"
"29","1.524211675","10.0.1.1","10.0.2.3","UDP","58","32628  >  23100 Len=16"
"30","1.532047228","10.0.1.6","10.0.2.3","UDP","58","18839  >  6070 Len=16"
"31","1.532796848","10.0.1.5","10.0.2.3","UDP","58","5727  >  42191 Len=16"
"32","1.539851354","10.0.1.2","10.0.2.3","UDP","58","47565  >  23545 Len=16"
"33","1.659915253","10.0.1.5","10.0.2.3","UDP","58","5727  >  42191 Len=16"
"34","1.661243372","10.0.1.6","10.0.2.3","UDP","58","18839  >  6070 Len=16"
"35","1.667960885","10.0.1.1","10.0.2.3","UDP","58","32628  >  23100 Len=16"
"36","1.671829991","10.0.1.2","10.0.2.3","UDP","58","47565  >  23545 Len=16"
"37","1.787989697","10.0.1.5","10.0.2.3","UDP","58","5727  >  42191 Len=16"
"38","1.789231319","10.0.1.6","10.0.2.3","UDP","58","18839  >  6070 Len=16"
"39","1.803962907","10.0.1.1","10.0.2.3","UDP","58","32628  >  23100 Len=16"
"40","1.807776659","10.0.1.2","10.0.2.3","UDP","58","47565  >  23545 Len=16"
"41","1.905391108","10.0.1.6","10.0.2.3","UDP","58","18839  >  6070 Len=16"
"42","1.920471669","10.0.1.5","10.0.2.3","UDP","58","5727  >  42191 Len=16"
"43","2.797213627","10.0.1.1","10.0.2.3","UDP","58","32628  >  23100 Len=16"
"44","2.799919837","10.0.1.2","10.0.2.3","UDP","58","47565  >  23545 Len=16"
"45","2.800285637","10.0.1.6","10.0.2.3","UDP","58","18839  >  6070 Len=16"
"46","2.908085994","10.0.1.5","10.0.2.3","UDP","58","5727  >  42191 Len=16"
"47","2.932214593","10.0.1.2","10.0.2.3","UDP","58","47565  >  23545 Len=16"
"48","2.933032441","10.0.1.6","10.0.2.3","UDP","58","18839  >  6070 Len=16"
"49","2.933584165","10.0.1.1","10.0.2.3","UDP","58","32628  >  23100 Len=16"
"50","3.048033509","10.0.1.5","10.0.2.3","UDP","58","5727  >  42191 Len=16"
"51","3.072212612","10.0.1.6","10.0.2.3","UDP","58","18839  >  6070 Len=16"
"52","3.073520544","10.0.1.2","10.0.2.3","UDP","58","47565  >  23545 Len=16"
"53","3.073678053","10.0.1.1","10.0.2.3","UDP","58","32628  >  23100 Len=16"
"54","3.179995965","10.0.1.5","10.0.2.3","UDP","58","5727  >  42191 Len=16"
"55","3.207992200","10.0.1.2","10.0.2.3","UDP","58","47565  >  23545 Len=16"
"56","3.209325050","10.0.1.1","10.0.2.3","UDP","58","32628  >  23100 Len=16"
"57","3.210193974","10.0.1.6","10.0.2.3","UDP","58","18839  >  6070 Len=16"
"58","3.312876786","10.0.1.5","10.0.2.3","UDP","58","5727  >  42191 Len=16"
"59","3.340097652","10.0.1.1","10.0.2.3","UDP","58","32628  >  23100 Len=16"
"60","3.341161686","10.0.1.6","10.0.2.3","UDP","58","18839  >  6070 Len=16"
"61","3.341580993","10.0.1.2","10.0.2.3","UDP","58","47565  >  23545 Len=16"
"62","3.448006843","10.0.1.5","10.0.2.3","UDP","58","5727  >  42191 Len=16"
"63","3.475955039","10.0.1.1","10.0.2.3","UDP","58","32628  >  23100 Len=16"
"64","3.476893515","10.0.1.6","10.0.2.3","UDP","58","18839  >  6070 Len=16"
"65","3.477290234","10.0.1.2","10.0.2.3","UDP","58","47565  >  23545 Len=16"
"66","3.580074894","10.0.1.5","10.0.2.3","UDP","58","5727  >  42191 Len=16"
"67","3.612075619","10.0.1.1","10.0.2.3","UDP","58","32628  >  23100 Len=16"
