"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","10.0.2.3","10.0.2.3","UDP","58","30751  >  54084 Len=16"
"2","0.002621009","10.0.1.6","10.0.2.3","UDP","58","29725  >  35361 Len=16"
"3","0.002882092","10.0.1.1","10.0.2.3","UDP","58","20069  >  31435 Len=16"
"4","0.003125362","10.0.1.5","10.0.2.3","UDP","58","55239  >  32398 Len=16"
"5","0.127874983","10.0.2.3","10.0.2.3","UDP","58","30751  >  54084 Len=16"
"6","0.136703806","10.0.1.6","10.0.2.3","UDP","58","29725  >  35361 Len=16"
"7","0.145869829","10.0.1.1","10.0.2.3","UDP","58","20069  >  31435 Len=16"
"8","0.147447676","10.0.1.5","10.0.2.3","UDP","58","55239  >  32398 Len=16"
"9","0.264842488","10.0.2.3","10.0.2.3","UDP","58","30751  >  54084 Len=16"
"10","0.266297671","10.0.1.6","10.0.2.3","UDP","58","29725  >  35361 Len=16"
"11","0.288150962","10.0.1.1","10.0.2.3","UDP","58","20069  >  31435 Len=16"
"12","0.289727772","10.0.1.5","10.0.2.3","UDP","58","55239  >  32398 Len=16"
"13","0.422681352","10.0.2.3","10.0.2.3","UDP","58","30751  >  54084 Len=16"
"14","0.424168731","10.0.1.6","10.0.2.3","UDP","58","29725  >  35361 Len=16"
"15","0.435936129","10.0.1.1","10.0.2.3","UDP","58","20069  >  31435 Len=16"
"16","0.444877202","10.0.1.5","10.0.2.3","UDP","58","55239  >  32398 Len=16"
"17","0.560081730","10.0.1.6","10.0.2.3","UDP","58","29725  >  35361 Len=16"
"18","0.561456361","10.0.2.3","10.0.2.3","UDP","58","30751  >  54084 Len=16"
"19","0.572025375","10.0.1.1","10.0.2.3","UDP","58","20069  >  31435 Len=16"
"20","0.576378733","10.0.1.5","10.0.2.3","UDP","58","55239  >  32398 Len=16"
"21","0.688660918","10.0.1.6","10.0.2.3","UDP","58","29725  >  35361 Len=16"
"22","0.695874471","10.0.2.3","10.0.2.3","UDP","58","30751  >  54084 Len=16"
"23","0.700460135","10.0.1.5","10.0.2.3","UDP","58","55239  >  32398 Len=16"
"24","0.701774945","10.0.1.1","10.0.2.3","UDP","58","20069  >  31435 Len=16"
"25","0.819942324","10.0.1.6","10.0.2.3","UDP","58","29725  >  35361 Len=16"
"26","0.827937308","10.0.2.3","10.0.2.3","UDP","58","30751  >  54084 Len=16"
"27","0.832121211","10.0.1.1","10.0.2.3","UDP","58","20069  >  31435 Len=16"
"28","0.833537612","10.0.1.5","10.0.2.3","UDP","58","55239  >  32398 Len=16"
"29","0.951962311","10.0.1.6","10.0.2.3","UDP","58","29725  >  35361 Len=16"
"30","0.955871533","10.0.2.3","10.0.2.3","UDP","58","30751  >  54084 Len=16"
